YEAR,Germany,Greece,France,UK
1970,4.02E+11,1156307900,7.89E+11,54451000000
1971,4.47E+11,1284074500,8.32E+11,60860000000
1972,4.87E+11,1485924600,8.69E+11,68054000000
1973,5.42E+11,1942027700,9.24E+11,78594000000
1974,5.87E+11,2230914900,9.64E+11,88183000000
1975,6.15E+11,2684284600,9.54E+11,1.09E+11
1976,6.67E+11,3339584500,9.96E+11,1.29E+11
1977,7.10E+11,3910650800,1.03E+12,1.51E+11
1978,7.58E+11,4772327900,1.07E+12,1.75E+11
1979,8.23E+11,5922179900,1.11E+12,2.07E+11
1980,8.80E+11,7109390900,1.13E+12,2.43E+11
1981,9.21E+11,8511542100,1.14E+12,2.69E+11
1982,9.60E+11,10705126300,1.17E+12,2.95E+11
1983,1.00E+12,12772420700,1.18E+12,3.23E+11
1984,1.05E+12,15885024200,1.20E+12,3.47E+11
1985,1.10E+12,19381790900,1.22E+12,3.81E+11
1986,1.16E+12,23160737100,1.25E+12,4.10E+11
1987,1.19E+12,26090403300,1.28E+12,4.56E+11
1988,1.25E+12,31747570200,1.34E+12,5.12E+11
1989,1.34E+12,37731966200,1.40E+12,5.67E+11
1990,1.46E+12,45538935500,1.44E+12,6.16E+11
1991,1.58E+12,56241115000,1.46E+12,6.48E+11
1992,1.70E+12,65016082100,1.48E+12,6.72E+11
1993,1.75E+12,73206734800,1.47E+12,7.08E+11
1994,1.83E+12,83020483100,1.50E+12,7.45E+11
1995,1.90E+12,93063601200,1.54E+12,8.37E+11
1996,1.93E+12,1.03E+11,1.56E+12,8.93E+11
1997,1.97E+12,1.15E+11,1.59E+12,9.39E+11
1998,2.02E+12,1.25E+11,1.65E+12,9.80E+11
1999,2.06E+12,1.34E+11,1.71E+12,1.02E+12
2000,2.12E+12,1.41E+11,1.77E+12,1.08E+12
2001,2.18E+12,1.52E+11,1.81E+12,1.12E+12
2002,2.21E+12,1.63E+11,1.83E+12,1.17E+12
2003,2.22E+12,1.79E+11,1.84E+12,1.24E+12
2004,2.27E+12,1.94E+11,1.89E+12,1.30E+12
2005,2.30E+12,1.99E+11,1.92E+12,1.38E+12
2006,2.39E+12,2.18E+11,1.97E+12,1.46E+12
2007,2.51E+12,2.33E+11,2.02E+12,1.53E+12
2008,2.56E+12,2.42E+11,2.02E+12,1.56E+12
2009,2.46E+12,2.38E+11,1.96E+12,1.52E+12
2010,2.58E+12,2.26E+11,2.00E+12,1.57E+12
2011,2.70E+12,2.07E+11,2.04E+12,1.63E+12
2012,2.76E+12,1.91E+11,2.04E+12,1.68E+12
2013,2.83E+12,1.81E+11,2.06E+12,1.74E+12
2014,2.92E+12,1.78E+11,2.07E+12,1.82E+12
2015,3.03E+12,1.76E+11,2.09E+12,1.87E+12
