YEAR,Germany,Greece,France,UK
1971,3.132699754,7.841176999,5.34571156,10.25873091
1972,4.300341294,10.16015113,4.541578928,11.33697068
1973,4.777486913,8.092378652,6.310450659,10.18243362
1974,0.890068704,-6.438240588,4.291351832,39.48709518
1975,-0.866738895,6.366808717,-0.980162271,19.19011491
1976,4.949258392,6.851897986,4.314246107,35.62533797
1977,3.347218088,2.941001647,3.451368946,-12.58209117
1978,3.008492877,7.246863393,3.978805853,-24.04920607
1979,4.150363333,3.282080212,3.559112323,0.47440528
1980,1.408828659,0.677131056,1.588188988,2.552937158
1981,0.529240537,-1.55372125,1.077744601,5.095329279
1982,-0.394840746,-1.132647498,2.508531254,-3.097520398
1983,1.572410149,-1.078622381,1.256296474,5.608240679
1984,2.822947834,2.010580399,1.524469431,7.508902308
1985,2.32793522,2.509556558,1.623244589,-2.332949333
1986,2.287339269,0.517660103,2.351242289,-0.803597734
1987,1.402151574,-2.258863527,2.577322066,-17.14604221
1988,3.707235669,4.28786171,4.733954269,12.84535325
1989,3.896551724,3.799999997,4.353231141,8.54530999
1990,5.255006086,0,2.914009701,5.192237277
1991,5.108261508,3.099999982,1.039105331,6.112503483
1992,1.923807011,0.700000012,1.599671214,-3.090145652
1993,-0.956165307,-1.600000003,-0.612652833,3.946555008
1994,2.45737182,2.000000007,2.345385593,3.712754841
1995,1.737640631,2.099719767,2.085084537,4.973847763
1996,0.817897617,2.862128846,1.388004028,3.62504902
1997,1.84920067,4.484199148,2.337333404,5.738367395
1998,1.979618407,3.894904772,3.556201252,3.477833587
1999,1.987134949,3.072596664,3.407099149,-8.932622802
2000,2.962045368,3.919770772,3.875162259,-1.882966398
2001,1.695471452,4.131612076,1.954449425,2.135233422
2002,0,3.922871842,1.118456892,-0.249033169
2003,-0.709906172,5.794531264,0.81953167,2.247330012
2004,1.169970413,5.060992565,2.786424111,0.689543058
2005,0.706713948,0.599142055,1.607713814,3.900705466
2006,3.700159572,5.65243372,2.3749469,-3.634637434
2007,3.260535297,3.273746857,2.361498873,5.658952383
2008,1.082315404,-0.335172557,0.195294766,-3.308430649
2009,-5.618860435,-4.300733667,-2.941341055,0.13033112
2010,4.079933305,-5.479037108,1.965657375,7.089887315
2011,3.660000155,-9.132494153,2.079229175,7.091753343
2012,0.491992829,-7.300493935,0.182693034,5.251076918
2013,0.489584482,-3.241425025,0.576241547,5.63841405
2014,1.595338098,0.352849233,0.636621653,4.314877125
2015,1.7207335,-0.219147178,1.274180325,4.012827565
