YEAR,Germany,Greece,France,UK
1971,-,-,5.321888195,3.479335196
1972,-,-,4.600711782,4.294469808
1973,-,-,6.265980978,6.516074519
1974,-,-,4.302558047,-2.472674047
1975,-,-,-0.995725489,-1.48834317
1976,-,-,4.298319539,2.921780448
1977,-,-,3.492253005,2.463214173
1978,-,-,3.993571442,4.195284945
1979,-,-,3.52150751,3.735497406
1980,-,-,1.580076798,-2.041164437
1981,-,-,1.08832519,-0.778926177
1982,-,-,2.417449205,2.015671973
1983,-,-,1.313308918,4.220572641
1984,-,-,1.646430561,2.274566997
1985,-,-,1.628757277,4.187305655
1986,-,-,2.303343807,3.153252083
1987,-,-,2.568227042,5.359484654
1988,-,-,4.630769327,5.787399961
1989,-,-,4.470457212,2.582895068
1990,-,-,2.949969062,0.716882958
1991,-,-,1.015712133,-1.118984054
1992,1.514151754,-,1.464243117,0.359872419
1993,-0.98194758,-,-0.549969935,2.50701368
1994,2.529418109,-,2.330041956,3.88507477
1995,1.812007987,-,2.1737872,2.506372851
1996,0.856806107,2.895255693,1.352455787,2.548734414
1997,1.907715255,4.598590996,2.3480655,3.127178464
1998,1.772550451,3.874087028,3.561013982,3.190779369
1999,1.848022264,2.950409566,3.288349018,3.283348205
2000,3.191577778,4.054149243,4.042181944,3.744962447
2001,1.832203657,4.191434327,1.965950822,2.726107338
2002,0.024166632,3.982363579,1.077240799,2.397248285
2003,-0.719521797,5.805890387,0.84945538,3.46617186
2004,0.697695944,4.777345581,2.588228526,2.527943566
2005,0.878159631,0.795514762,1.665535431,2.972095804
2006,3.87338721,5.580924877,2.513287396,2.503008557
2007,3.372714941,3.168878796,2.347459068,2.555819113
2008,0.818152063,-0.234569171,0.081089486,-0.627205201
2009,-5.567440948,-4.306254041,-2.862344804,-4.327737609
2010,3.947809971,-5.458769196,1.884585285,1.915100428
2011,3.720221934,-9.176987518,2.106497048,1.50912294
2012,0.685955845,-7.323926887,0.224061091,1.313018601
2013,0.59732383,-3.172755184,0.618081023,1.911078408
2014,1.590557525,0.389409664,0.665879846,3.070483794
2015,1.485845369,-0.31155255,1.209476008,2.221502128
